domain,use_case,use_case_description,knowledge_dimensions,task_id,task_title,reference_material,sample_questions,reference_material_source,comprehension_quiz_source,task_inspiration,task_description,cq_format,additional_prompts
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,sleep-hygiene,Sleep hygiene,sleep-hygiene.pdf,,NHS https://www.uhs.nhs.uk/Media/UHS-website-2019/Patientinformation/Other/Sleep-hygiene-3276-PIL.pdf,AQG,Based on common wellbeing topics covered by APA (https://www.nih.gov/health-information/your-healthiest-self-wellness-toolkits/emotional-wellness-toolkit/emotional-wellness-toolkit-more-resources) and NIH (https://www.nih.gov/health-information/your-healthiest-self-wellness-toolkits/emotional-wellness-toolkit/emotional-wellness-toolkit-more-resources),,,
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,nutrition-kidney-disease,Nutrition and kidney disease,nutrition-kidney-disease.pdf,,National Kidney Foundation: https://www.kidney.org/kidney-topics/nutrition-and-kidney-disease-stages-1-5-not-dialysis,AQG,"Based on materials from various disease-based organizations/foundations, professional dietitian organizations, and the US Academy of Nutrition and Dietetics eatright.org",,,
Finance,Taxes,Learn about U.S. tax forms and how to file them and determine when and how specific tax regulations and law provisions apply to individual or company statuses.,Factual,child-tax-credit,Child tax credit,child-tax-credit.pdf,,IRS: https://www.irs.gov/credits-deductions/individuals/child-tax-credit,AQG,"Based on the [2024 annual congress report of the U.S. Internal Revenue Service (IRS)](https://www.taxpayeradvocate.irs.gov/reports/2024-annual-report-to-congress/most-serious-problems/), tax literacy is one of the top 10 most serious problems facing taxpayers. The report referenced the 2024 [Tax Foundation's National Tax Literacy Poll](https://taxfoundation.org/research/all/federal/us-tax-literacy-poll-knowledge-perceptions/) which spelled out common concepts that taxpayers struggled with.",,single-select MCQs with 5 options and one correct answer,
Finance,Credits and debts,"Learn about different types of credits and debts, how credit scoring works, and how to manage one's financial liabilities.",Factual,secured-unsecured-credit,Secured and unsecured credit,secured-unsecured-credit.pdf,,Experian: https://www.experian.com/blogs/ask-experian/is-secured-card-or-unsecured-card-better-for-credit/,AQG,"Based on educational materials provided by the following sources: 1) CFPB Consumer Guides (https://www.consumerfinance.gov/consumer-tools/ and https://www.consumerfinance.gov/consumer-tools/educator-tools/your-money-your-goals/toolkit/); 2) Credit Bureau Consumer Education (Commercial Authority: Experian, Equifax, TransUnion); 3) National Foundation for Credit Counseling blog articles (https://www.nfcc.org/blog/)",,single-select MCQs with 5 options and one correct answer,
Finance,Banking,"Learn about essential banking terms, products, and services, including how to access and utilize them for money and wealth management purposes.",Factual,deposit-insurance,FDIC deposit insurance,deposit-insurance.pdf,,Federal Deposit Insurance Corporation (FDIC): https://www.fdic.gov/resources/deposit-insurance/brochures/deposits-at-a-glance,AQG,Based on education materials by 1) CFPB Consumer Tools (https://www.consumerfinance.gov/consumer-tools/bank-accounts/); 2) Major Bank Personal Banking Fee Schedule; 3) Major Bank Educational Resources,,single-select MCQs with 5 options and one correct answer,
Finance,Investment,"Learn about a range of financial products from bonds, stocks, options to exchange traded funds (ETFs) and investment management.",Factual,mutual-funds,Mutual funds,mutual-funds.pdf,,SEC Investor.gov (https://www.investor.gov/introduction-investing/investing-basics/investment-products/mutual-funds-and-exchange-traded-funds-etfs/mutual-funds),AQG,Based on educational materials by SEC Investor.gov,,single-select MCQs with 5 options and one correct answer,
Finance,Budgeting and saving,"Learn about how to budget, set financial goals, and saving strategies.",Factual,emergency-fund,Emergency fund,emergency-fund.pdf,,CFPB: https://www.consumerfinance.gov/an-essential-guide-to-building-an-emergency-fund/,AQG,"Based on educational materials by 1) CFPB Consumer Tools (https://www.consumerfinance.gov/consumer-tools/educator-tools/your-money-your-goals/toolkit/); 2) MyMoney.gov (https://www.mymoney.gov/for-teachers); 3) National Endowment for Financial Education (NEFE), Jump$tart Coalition, or similar nonprofits focused on financial literacy; 4) Financial Institution Educational Materials (Banks, credit unions, etc.)",,single-select MCQs with 5 options and one correct answer,
