domain,use_case,use_case_description,knowledge_dimensions,task_id,task_title,reference_material,sample_questions,reference_material_source,comprehension_quiz_source,task_inspiration,task_description,cq_format,additional_prompts
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,right-to-safe-home,Right to Safe and Well-Maintained Home,right-to-safe-home.pdf,,State of California DOJ: https://oag.ca.gov/system/files/media/Know-Your-Rights-Habitability-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Employment,"Learn about laws and regulations around employment contracts, conditions, and workplace disputes.",Factual,workplace-discrimination,Workplace discrimination,workplace-discrimination.pdf,,EEOC: https://www.eeoc.gov/poster,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Employment,"Learn about laws and regulations around employment contracts, conditions, and workplace disputes.",Factual,fair-labor-exemptions,Fair Labor Standards Act exemptions,fair-labor-exemptions.pdf,,Department of Labor: https://www.dol.gov/agencies/whd/fact-sheets/17a-overtime,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Bankruptcy,Learn about the legal procedure and ramifications for declaring personal bankruptcy.,Factual,bankruptcy-basics,Bankruptcy basics,bankruptcy-basics.pdf,,Law Help MN: https://www.lawhelpmn.org/fact-sheets,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Elections and voting rights,Learn about federal and state electoral rules and the legal protections of citizens’ voting rights.,Factual,uocava,Uniformed And Overseas Citizens Absentee Voting Act,uocava.pdf,,DOJ: https://www.justice.gov/crt/uniformed-and-overseas-citizens-absentee-voting-act,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,"Wills, trusts, and estates","Learn about laws and regulations around wills, trusts and estates.",Factual,wills,Wills,wills.pdf,,Virginia state bar: https://vsb.org/common/Uploaded%20files/docs/pub-te-willsinva.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,"Wills, trusts, and estates","Learn about laws and regulations around wills, trusts and estates.",Factual,revocable-living-trusts,Revocable living trusts,revocable-living-trusts.pdf,,Washiington state bar: https://www.wsba.org/docs/default-source/news-events/publications/consumer-pamphlets/consumer-info-revocable-living-trusts.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
