domain,use_case,use_case_description,knowledge_dimensions,task_id,task_title,reference_material,sample_questions,reference_material_source,comprehension_quiz_source,task_inspiration,task_description,cq_format,additional_prompts
Health,Clinical consultation,"Learn about a physician's diagnosis of a medical condition and accompanying treatment plan (including medications, dietary/behavioral instructions, etc.).",Factual,obstetric-cholestasis,Obstetric cholestasis,obstetric-cholestasis.pdf,,Patient.info: https://patient.info/doctor/gastroenterology/obstetric-cholestasis-pro,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,"Across Bloom's taxnonomy of 3 cognitive processes (remembering, understanding, and applying), make 6 CQ each, totally 18 questions for the CQ section. Do not overlap in the content tested for each question; it's okay if some questions deepen the tested concept in previous questions."
Health,Clinical consultation,"Learn about a physician's diagnosis of a medical condition and accompanying treatment plan (including medications, dietary/behavioral instructions, etc.).",Factual,normal-pressure-hydrocephalus,Normal Pressure Hydrocephalus,normal-pressure-hydrocephalus.pdf,,Patient.info: https://patient.info/doctor/neurology/normal-pressure-hydrocephalus,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,"Across Bloom's taxnonomy of 3 cognitive processes (remembering, understanding, and applying), make 6 CQ each, totally 18 questions for the CQ section. Do not overlap in the content tested for each question; it's okay if some questions deepen the tested concept in previous questions."
Health,Clinical consultation,"Learn about a physician's diagnosis of a medical condition and accompanying treatment plan (including medications, dietary/behavioral instructions, etc.).",Factual,postural-orthostatic-tachycardia-syndrome,Postural Orthostatic Tachycardia Syndrome,postural-orthostatic-tachycardia-syndrome.pdf,,Patient.info: https://patient.info/doctor/cardiovascular-disease/postural-tachycardia-syndrome-pots-pro,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,"Across Bloom's taxnonomy of 3 cognitive processes (remembering, understanding, and applying), make 6 CQ each, totally 18 questions for the CQ section. Do not overlap in the content tested for each question; it's okay if some questions deepen the tested concept in previous questions."
Health,Clinical consultation,"Learn about a physician's diagnosis of a medical condition and accompanying treatment plan (including medications, dietary/behavioral instructions, etc.).",Factual,primary-sclerosing-cholangitis,Primary Sclerosing Cholangitis,primary-sclerosing-cholangitis.pdf,,Patient.info: https://patient.info/doctor/gastroenterology/primary-sclerosing-cholangitis-pro,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,"Across Bloom's taxnonomy of 3 cognitive processes (remembering, understanding, and applying), make 6 CQ each, totally 18 questions for the CQ section. Do not overlap in the content tested for each question; it's okay if some questions deepen the tested concept in previous questions."
Health,Clinical consultation,"Learn about a physician's diagnosis of a medical condition and accompanying treatment plan (including medications, dietary/behavioral instructions, etc.).",Factual,wilsons-disease,Wilson’s Disease,wilsons-disease.pdf,,Patient.info: https://patient.info/doctor/neurology/wilsons-disease-pro,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,"Across Bloom's taxnonomy of 3 cognitive processes (remembering, understanding, and applying), make 6 CQ each, totally 18 questions for the CQ section. Do not overlap in the content tested for each question; it's okay if some questions deepen the tested concept in previous questions."
